# rastreio por passo -- plano_empurrar_radial_local_origem_forca05: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.01636 0.00013 0.00000 0.00000 0.00000 0.00000 0.00000 0.01748
3 0.04576 0.00036 0.00003 0.00001 0.00000 0.00000 0.00000 0.05070
4 0.08084 0.00203 0.00031 0.00007 0.00002 0.00000 0.00000 0.09070
5 0.10893 0.00713 0.00128 0.00033 0.00009 0.00000 0.00000 0.10727
6 0.12454 0.01663 0.00319 0.00099 0.00029 0.00000 0.00000 0.12756
7 0.13265 0.02950 0.00558 0.00200 0.00065 0.00001 0.00000 0.14474
8 0.13772 0.04402 0.00774 0.00308 0.00111 0.00002 0.00000 0.16005
9 0.14112 0.05884 0.00920 0.00392 0.00153 0.00005 0.00000 0.17348
10 0.14353 0.07299 0.00988 0.00438 0.00184 0.00007 0.00000 0.18509
11 0.14527 0.08580 0.00996 0.00452 0.00201 0.00010 0.00000 0.17555
12 0.14653 0.09693 0.00974 0.00445 0.00208 0.00014 0.00000 0.18544
