# ORÁCULO: a vista `Khronos PBR Neutral` do Blender 5.2, corrida pelo OpenColorIO sem interface
# OpenColorIO 2.5.1 (BSD-3-Clause) · config.ocio sha256 47a7d83e79c1d21f49ba6c505efe311da723471688c614b5c366e1da7eb8ea3a
# pbrNeutral.cube sha256 cc177eeaa09e43a7d1a3e59e0745beba09a5190764259db58a485513a143f0b9
# entrada: os NÓS do LUT, lg2 [-9, 10] em 57 passos — 57 cinzas + 400 cores (semente 20260913)
# gerado por docs/Render3d/ferramentas/fixture_neutral.py · formato: r g b  R G B (linear da cena · sRGB codificado)
5.057017137e+02 5.057017137e+02 5.057017137e+02  9.999510050e-01 9.999510050e-01 9.999510050e-01
6.397784427e+02 6.397784427e+02 6.397784427e+02  9.999615550e-01 9.999615550e-01 9.999615550e-01
8.094029437e+02 8.094029437e+02 8.094029437e+02  9.999698997e-01 9.999698997e-01 9.999698997e-01
1.024000000e+03 1.024000000e+03 1.024000000e+03  9.999765158e-01 9.999765158e-01 9.999765158e-01
8.008314156e-03 1.879325237e+01 2.497404524e+02  9.883322120e-01 9.892082810e-01 9.998994470e-01
3.283614496e-02 5.255602595e-02 3.997231013e+02  9.926692247e-01 9.926695228e-01 9.999378324e-01
5.057017137e+02 2.497404524e+02 3.159541551e+02  9.999510050e-01 9.970420599e-01 9.977957010e-01
4.363541516e-01 5.520447568e-01 8.835774907e-01  6.558116078e-01 7.353448272e-01 9.172602892e-01
2.726269332e-01 3.954900579e-03 4.363541516e-01  5.552279949e-01 1.263895538e-03 6.890153885e-01
6.984084199e-01 6.397784427e+02 4.154199425e-02  9.954088926e-01 9.999615550e-01 9.954041243e-01
5.798638843e+00 6.090848979e+01 1.281773994e-02  9.586507082e-01 9.995813370e-01 9.542185664e-01
6.090848979e+01 2.051548602e-02 6.090848979e+01  9.995812774e-01 9.542155266e-01 9.995812774e-01
3.954900579e-03 2.863653906e+00 2.863653906e+00  5.010039210e-01 9.890956283e-01 9.890956283e-01
1.621610818e-02 6.984084199e-01 2.863653906e+00  5.004044771e-01 6.627046466e-01 9.890450835e-01
1.117840450e+00 1.013155902e-02 7.705716174e+01  9.639175534e-01 9.633833170e-01 9.996699095e-01
8.411876204e-02 9.748733216e+01 3.997231013e+02  9.926697016e-01 9.944470525e-01 9.999378324e-01
6.330032277e-03 3.805462768e+01 1.703328464e-01  9.290933609e-01 9.993253946e-01 9.294114709e-01
4.363541516e-01 4.583432958e+00 4.154199425e-02  6.657733321e-01 9.936917424e-01 6.222174168e-01
